Nama,No telepon
741 TRADING,62-31-7481800
88JAYA,62-31-60203910
ABADI MULIA,62-81-23034778
ABDI LTD,62-031-545 6744
ADICITRA NUSA ABADI,62-31-8418391
ADIKARSA SEMBADA,62-031-3531926
AFIFARMA,62-354-683675
AGRI SERVIS SAKTI,62-341-553515
AGRINUSA LESTARI JAYA PT,62-31-3898211
AGRO JAVA,62-31-60239900
AGRO JAYA GRESIK,62-31-70630704
AGROMARINE MAXPROB IND,62-81-332012311
AGROMARINE MAXPROB IND. GROUP,62-31-8539981
ALFA MITRA PERSADA,62-31-70777595
ALOHA REPRO & COCONUT FIBER,62-341-329850
ALOHAINDONESIA COCONUT FIBER,62-341-7788799
ALTAMIRA C. V.,62-81-23232887
ANDIKO TEHNIK,62-031-5965153
"ANEKA BARU, CV",62-31-5672057
ANEKA CITARASA SURABAYA,62-31-3893009
ANEKA COFFEE INDUSTRY,62-31-8971064
ANEKA KIMIA,62-341-366435
ANEKA KIMIA INTI,62-31-5037767
ANEKA RASA,62-31-5936660
ANEKA TEKNIK MACHINERY,62-031-7524845
ANG AC,+62-31-5353088
ANROO GLOBAL,62-21-59370680
"ANTAR LINTAS SAMUDERA, PT",62-31-3291347
ANTARES PRIMA,62-341-825502
ANTARNUSA,62-31-5945621
Undefined,62-31-5945621
ANUGERAH SENTOSA SEJAHTERA,62-341-896095
ANUGRAH SENTOSA SEJAHTERA,62-31-8797116
ARAYA FOUNTAINSTONE,62-31-3294260
ARBETA INDO RAYA CV.,62-81-8376111
ARDETACOMPUTER,62-31-5993531
ARDITAMA NUSANTARA,62-031-8795171
ARIES FURNITURE ART,62-0353-883301
ARIVAN,62-31-5922763
ARJUNA,62-24-70780899
ARJUNA FURNITURE,62-31-7348455
ARKO EXPORT,62-31-5942507
ARMINA MITRA KARYA,62-351-368265
ARMINDO INTERCORP,62-31-8418175
ARSYAINDO,62-31-70430407
ARTABIZZ MARKET,62-031-70367898
ARTHA JAYA MAKMUR,62-031-8708184
"ARTHA MAKMUR, CV",62-334-5461233
ARTINDO FURNI ELOK,62-31-8971469
ARTISTIKA,62-31-70654320
ARTISTIKA,62-31-70065473
"ARTSA KENCANA SEJAHTERA, PT",62-31-8715300
ASIA RAYA PT,62-31-5913273
ASIATRADE ENTERPRISE,62-813-31489151
"AT GOUP INDONESIA, PT",62-31-8474142
AT GROUP INDONESIA,62-31-60110921
ATHIS SOLUTION,62-31-5454276
ATLANTIC INDONESIA,62-81-703292600
ATTA TEKNIK FILTER,62-31-8417069
AUTOKORINDO PRATAMA,62-31-3970317
BAGUS NATURAL STONE,62-31-8948462
BALI CHISSE ARTS,62-31-70658877
"BALI JAVA SELARAS, CV",62-31-7860801
BALIBIGSALE INDONESIA,62-31-3990080
BALIETTE HOME FURNISHINGS,62-81-23233070
BALIETTE HOME FURNISHINGS,62-31-70707058
BANGUN CITRA IRAWAN,62-31-71028880
BANINMINE,62-31-8287509
